Time_Index,NENG_CT_NG,NENG_ME_NG,NENGREST_NG,west_north_central_coal,new_england_uranium,NENG_CT_NG_ccs90,NENG_ME_NG_ccs90,NENGREST_NG_ccs90,NENG_CT_NG_ccs100,NENG_ME_NG_ccs100,NENGREST_NG_ccs100,None
0,0.05306,0.05306,0.05306,0.09552,0,0.00531,0.00531,0.00531,0,0,0,0
1,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
2,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
3,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
4,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
5,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
6,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
7,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
8,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
9,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
10,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
11,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
12,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
13,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
14,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
15,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
16,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
17,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
18,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
19,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
20,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
21,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
22,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
23,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
24,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
25,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
26,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
27,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
28,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
29,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
30,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
31,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
32,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
33,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
34,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
35,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
36,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
37,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
38,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
39,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
40,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
41,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
42,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
43,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
44,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
45,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
46,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
47,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
48,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
49,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
50,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
51,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
52,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
53,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
54,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
55,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
56,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
57,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
58,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
59,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
60,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
61,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
62,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
63,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
64,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
65,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
66,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
67,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
68,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
69,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
70,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
71,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
72,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
73,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
74,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
75,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
76,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
77,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
78,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
79,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
80,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
81,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
82,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
83,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
84,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
85,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
86,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
87,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
88,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
89,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
90,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
91,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
92,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
93,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
94,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
95,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
96,5.45,5.45,5.28,1.67,0.69,5.45,5.45,5.28,4.02,4.02,3.85,0
