Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
5000,1,1,1,5000,4,168,168,1,24899.27566,21006.86243,32514.92896,30483.07155,26556.70582,30508.78251,13693.16124,26300.77761,35455.08603,44534.91881,12809.50697,10873.2008,16688.46795,15328.89533,41527.71542,43948.09766,21425.52363,13164.92154,8849.107105,21301.10968,30142.78535,30338.86664,34344.35704,24833.76609,55073.33082,2638.706345
,,,,,,,168,2,24060.70681,20009.25704,30969.89333,27966.54381,25164.63662,28641.79871,12919.00375,24836.55891,34051.80809,42163.99074,12239.61585,10408.73987,15646.31636,14423.24285,38780.06674,41427.23373,20679.06661,11428.65646,7634.3861,18302.64831,28234.16352,28566.32407,32263.1544,23854.17188,52862.97625,2533.398795
,,,,,,,168,3,23032.55721,19004.63332,29414.83151,26618.04587,24625.67399,27570.3647,12343.39961,23279.07149,31750.79337,40166.31077,12007.84675,10164.97312,15199.96654,14242.71411,37949.45224,40571.56444,19904.51713,10773.67027,7208.080215,17008.99775,28402.65982,27332.46592,30963.28036,22887.61218,49776.10177,2375.938933
,,,,,,,168,4,22128.78864,17847.61159,27621.1464,26137.80014,24003.40802,27256.35829,12107.74286,22712.43891,31382.67113,38347.228,11677.75136,9841.957101,14799.75626,14160.47325,37597.34392,40147.24075,18527.98618,10714.49081,7132.849765,16548.69883,28646.37769,26723.56194,30519.95913,22177.73224,48273.78274,2307.739757
,,,,,,,,5,20988.29488,16428.90644,25418.39281,25932.26699,23645.10326,27150.01746,11905.17834,22020.44515,31080.75072,35365.25668,11396.81912,9585.149332,14447.69157,14117.34694,37561.23025,39915.51788,19062.74638,10700.44823,7112.788311,16138.54141,28966.32008,26166.82106,30054.57213,21135.9734,47238.80728,2263.610879
,,,,,,,,6,20915.07057,15982.74122,24726.58582,26754.39956,24190.08781,27224.2554,11974.37117,21488.9137,30824.97096,34750.20002,11435.94897,9596.184041,14468.75527,14745.18575,38730.91202,40666.86172,18890.17836,10684.39956,7103.760657,15841.70376,30593.11178,26264.12532,30360.48384,20867.26178,46404.40846,2224.496645
,,,,,,,,7,20713.45294,15559.63622,24073.88095,27818.1589,24947.84718,28110.09457,12437.66231,21940.21399,31774.86675,34418.08948,11718.88787,9765.717295,14727.53786,15340.93057,40582.74096,41968.92355,18503.90692,10995.34247,7335.470444,16267.90646,32029.34219,27065.63155,31211.0187,20778.02546,47463.45311,2281.663602
,,,,,,,,8,20714.45601,15259.85329,23610.67105,31323.25093,24341.63969,28938.75046,12942.06803,22179.90458,33084.86031,34259.55938,11711.86456,9758.695207,15230.05754,16144.28344,41263.88497,43352.23885,18779.81509,11375.49525,7660.46599,16640.95918,33897.84585,28079.80277,32846.89413,21057.76629,49581.54243,2402.015088
,,,,,,,,9,21336.36114,15538.58123,24042.79977,34526.56016,23249.66327,29982.09444,13397.33681,23654.15217,34923.46536,35722.4511,11605.51164,9651.357585,15877.01402,16654.77858,42493.7562,44962.26138,19176.11956,11643.30737,8019.566006,17512.41836,33674.18707,29876.42061,34600.11929,21737.56657,52048.63509,2521.363646
,,,,,,,,10,22132.80093,15964.69409,24714.55439,37905.3245,23883.9731,31391.61203,14207.59491,24782.40288,36833.28752,38888.03639,11814.20417,9830.922392,16504.91286,17094.06516,44344.58198,47310.58706,19773.08451,11939.20465,8356.598423,18178.2974,33639.08367,31474.41739,36330.27571,22566.76249,54689.22655,2657.761997
