Resource,fuel,Zone,EndCap1,EndEnergyCap1,EndCap2,EndEnergyCap2,EndCap3,EndEnergyCap3,EndCap4,EndEnergyCap4,EndCap5,EndEnergyCap5,EndCap6,EndEnergyCap6,EndCap7,EndEnergyCap7
EIC_conventional_hydroelectric_1,hydro,1,24617.3,0,24617.3,0,24617.3,0,24617.3,0,24617.3,0,24617.3,0,24617.3,0
TRE_conventional_hydroelectric_1,hydro,2,483.9,0,483.9,0,483.9,0,483.9,0,483.9,0,483.9,0,483.9,0
WECC_conventional_hydroelectric_1,hydro,3,47207.7,0,47207.7,0,47207.7,0,47207.7,0,47207.7,0,47207.7,0,47207.7,0
EIC_conventional_steam_coal_1,coal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_conventional_steam_coal_2,coal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_natural_gas_fired_combined_cycle_1,ngcc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_natural_gas_fired_combined_cycle_2,ngcc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_natural_gas_fired_combustion_turbine_1,ngct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_natural_gas_fired_combustion_turbine_2,ngct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_natural_gas_internal_combustion_engine_1,ngict,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_natural_gas_steam_turbine_1,ngst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_nuclear_1,nuclear,1,29298.35963,0,33173.74283,0,31902.39861,0,13572.48098,0,32512.71022,0,568.1020356,0,17673.03044,0
EIC_petroleum_liquids_1,petroleum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_conventional_steam_coal_1,coal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_conventional_steam_coal_2,coal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_natural_gas_fired_combined_cycle_1,ngcc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_natural_gas_fired_combined_cycle_2,ngcc,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_natural_gas_fired_combustion_turbine_1,ngct,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_natural_gas_fired_combustion_turbine_2,ngct,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_natural_gas_internal_combustion_engine_1,ngict,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_natural_gas_steam_turbine_1,ngst,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_nuclear_1,nuclear,2,8.746642826,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_petroleum_liquids_1,petroleum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_conventional_steam_coal_1,coal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_conventional_steam_coal_2,coal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_natural_gas_fired_combined_cycle_1,ngcc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_natural_gas_fired_combined_cycle_2,ngcc,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_natural_gas_fired_combustion_turbine_1,ngct,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_natural_gas_fired_combustion_turbine_2,ngct,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_natural_gas_internal_combustion_engine_1,ngict,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_natural_gas_steam_turbine_1,ngst,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_nuclear_1,nuclear,3,24.39279618,0,0,0,0,0,0,0,3.389366263,0,0,0,0,0
WECC_petroleum_liquids_1,petroleum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_naturalgas_ccavgcf_moderate_0,ngcc_new,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_naturalgas_ctavgcf_moderate_0,ngct_new,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_naturalgas_ccccsavgcf_conservative_0,ngcc_ccs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_advnuclear_atb_moderate_0,nuclear_new,1,3.643148833,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_naturalgas_ccavgcf_moderate_0,ngcc_new,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_naturalgas_ctavgcf_moderate_0,ngct_new,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_naturalgas_ccccsavgcf_conservative_0,ngcc_ccs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRE_advnuclear_atb_moderate_0,nuclear_new,2,2.513070831,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_naturalgas_ccavgcf_moderate_0,ngcc_new,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_naturalgas_ctavgcf_moderate_0,ngct_new,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_naturalgas_ccccsavgcf_conservative_0,ngcc_ccs,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_advnuclear_atb_moderate_0,nuclear_new,3,2.802237206,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_naturalgas_ctavgcf_moderate_0_zerocarbon,ng_zero_carbon,1,98649.61056,0,96118.83895,0,96980.86732,0,109733.981,0,94988.59231,0,122529.3403,0,111361.8593,0
TRE_naturalgas_ctavgcf_moderate_0_zerocarbon,ng_zero_carbon,2,13.40626656,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_naturalgas_ctavgcf_moderate_0_zerocarbon,ng_zero_carbon,3,8945.922334,0,8974.684667,0,9033.624112,0,8550.126003,0,9063.329603,0,8332.871321,0,8037.983332,0
EIC_offshore_wind_turbine_1,offshore_wind,1,29.293836,0,29.3,0,29.3,0,29.3,0,29.3,0,29.3,0,29.3,0
EIC_onshore_wind_turbine_1,wind,1,81502.29392,0,81502.3,0,81502.3,0,81502.3,0,81502.3,0,81502.3,0,81502.3,0
EIC_solar_photovoltaic_1,solar,1,43752.09141,0,43752.1,0,43752.1,0,43752.1,0,43752.1,0,43752.1,0,43752.1,0
TRE_onshore_wind_turbine_1,wind,2,36993.63168,0,36993.9,0,36993.9,0,36993.9,0,36993.9,0,36993.9,0,36993.9,0
TRE_solar_photovoltaic_1,solar,2,18530.69022,0,18530.7,0,18530.7,0,18530.7,0,18530.7,0,18530.7,0,18530.7,0
WECC_geothermal_1,geothermal,3,2048.6,0,2048.6,0,2048.6,0,2048.6,0,2048.6,0,2048.6,0,2048.6,0
WECC_onshore_wind_turbine_1,wind,3,31536.49897,0,31536.5,0,31536.5,0,31536.5,0,31536.5,0,31536.5,0,31536.5,0
WECC_solar_photovoltaic_1,solar,3,36325.79911,0,36325.8,0,36325.8,0,36325.8,0,36325.8,0,36325.8,0,36325.8,0
EIC_landbasedwind_class1_moderate_0,wind_new,1,15.38466696,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_1,wind_new,1,247678.0996,0,247680.8,0,247680.8,0,247680.8,0,247680.8,0,247680.8,0,247680.8,0
EIC_landbasedwind_class1_moderate_2,wind_new,1,43011.29795,0,38259.84195,0,39458.444,0,65037.1398,0,38470.65368,0,72180.77629,0,52520.31863,0
EIC_landbasedwind_class1_moderate_3,wind_new,1,3.420666556,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_4,wind_new,1,10.20787503,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_5,wind_new,1,4.094486328,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_6,wind_new,1,7.427258932,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_7,wind_new,1,5.258776669,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_8,wind_new,1,4.752594268,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_landbasedwind_class1_moderate_9,wind_new,1,2.824664883,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_0,solar_new,1,554301.4981,0,551487.114,0,553522.8263,0,563064.533,0,553442.667,0,569698.6301,0,553852.4429,0
EIC_utilitypv_class1_moderate_1,solar_new,1,20.84944365,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_2,solar_new,1,10.83740575,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_3,solar_new,1,7.080471927,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_4,solar_new,1,5.407949831,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_5,solar_new,1,5.350252825,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_6,solar_new,1,2.972161264,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_7,solar_new,1,4.145784337,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_8,solar_new,1,2.082343918,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_utilitypv_class1_moderate_9,solar_new,1,2.479997248,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_0,offshore_wind_new,1,1.076163467,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_1,offshore_wind_new,1,0.582144262,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_2,offshore_wind_new,1,3.983464342,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_3,offshore_wind_new,1,1.474105705,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_4,offshore_wind_new,1,3.687063828,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_5,offshore_wind_new,1,1.715607599,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_6,offshore_wind_new,1,0.794818564,0,0,0,0,0,0,0,0,0,0,0,0,0
EIC_offshorewind_class3_moderate_fixed_1_7,offshore_wind_new,1,0.504245441,0,0,0,0,0,0,0,0,0,0,0,0,0
