Run,Test System,Decomposition Method,Regularization Method,Time (s),Number of Iterations
1,3-Zone,Monolithic,-,0.81,35
2,3-Zone,Temporal Benders,Regularized - 0.5,9.3,35
3,3-Zone,Temporal Benders,None,13.7,57
4,3-Zone,Spatial Hourly Benders,Regularized - 0.5,11.8,32
5,3-Zone,Spatial Hourly Benders,None,11.9,39
6,3-Zone,Spatial Budget Benders,Regularized - 0.5,10.4,38
7,3-Zone,Spatial Budget Benders,None,12.8,54
8,NREL RTS,Monolithic,-,449,69
9,NREL RTS,Temporal Benders,Regularized - 0.5,1569,26
10,NREL RTS,Temporal Benders,None,5318.5,92
11,NREL RTS,Spatial Hourly Benders,Regularized - 0.5,-,-
12,NREL RTS,Spatial Hourly Benders,None,-,-
13,NREL RTS,Spatial Budget Benders,Regularized - 0.5,194.8,8
14,NREL RTS,Spatial Budget Benders,None,116.03,5
15,NREL RTS,Spatial Budget Benders + Constraint,Regularized - 0.5,157.6,6
16,NREL RTS,Spatial Budget Benders + Constraint,None,109.7,4
