Resource,fuel,Zone,EndCap1,EndCap2,EndCap3,EndCap4,EndCap5,EndCap6,EndCap7
313_RTPV_1,solar,54,101700,101700,101700,101700,101700,101700,101700
320_RTPV_2,solar,61,27000,27000,27000,27000,27000,27000,27000
213_RTPV_1,solar,39,13200,13200,13200,13200,13200,13200,13200
313_RTPV_9,solar,54,62400,62400,62400,62400,62400,62400,62400
313_RTPV_2,solar,54,63100,63100,63100,63100,63100,63100,63100
313_RTPV_7,solar,54,64100,64100,64100,64100,64100,64100,64100
320_RTPV_3,solar,61,28300,28300,28300,28300,28300,28300,28300
308_RTPV_1,solar,25,100900,100900,100900,100900,100900,100900,100900
313_RTPV_4,solar,54,67000,67000,67000,67000,67000,67000,67000
313_RTPV_5,solar,54,64800,64800,64800,64800,64800,64800,64800
313_RTPV_6,solar,54,63800,63800,63800,63800,63800,63800,63800
320_RTPV_1,solar,61,27300,27300,27300,27300,27300,27300,27300
320_RTPV_6,solar,61,9400,9400,9400,9400,9400,9400,9400
320_RTPV_5,solar,61,28200,28200,28200,28200,28200,28200,28200
118_RTPV_2,solar,36,9700,9700,9700,9700,9700,9700,9700
320_RTPV_4,solar,61,27000,27000,27000,27000,27000,27000,27000
313_RTPV_11,solar,54,65200,65200,65200,65200,65200,65200,65200
118_RTPV_7,solar,36,11800,11800,11800,11800,11800,11800,11800
118_RTPV_3,solar,36,9400,9400,9400,9400,9400,9400,9400
313_RTPV_13,solar,54,27200,27200,27200,27200,27200,27200,27200
313_RTPV_12,solar,54,27800,27800,27800,27800,27800,27800,27800
118_RTPV_8,solar,36,11200,11200,11200,11200,11200,11200,11200
313_RTPV_3,solar,54,65400,65400,65400,65400,65400,65400,65400
118_RTPV_10,solar,36,4500,4500,4500,4500,4500,4500,4500
313_RTPV_10,solar,54,66900,66900,66900,66900,66900,66900,66900
118_RTPV_5,solar,36,9100,9100,9100,9100,9100,9100,9100
118_RTPV_1,solar,36,9300,9300,9300,9300,9300,9300,9300
118_RTPV_9,solar,36,10300,10300,10300,10300,10300,10300,10300
118_RTPV_6,solar,36,9700,9700,9700,9700,9700,9700,9700
313_RTPV_8,solar,54,66600,66600,66600,66600,66600,66600,66600
118_RTPV_4,solar,36,9100,9100,9100,9100,9100,9100,9100
STORAGE3,batteries,23,0,0,0,0,0,0,0
STORAGE2,batteries,8,0,0,0,0,0,0,0
STORAGE1,batteries,33,0,0,0,0,0,0,0
313_STORAGE_1,batteries,54,50000,50000,50000,50000,50000,50000,50000
122_WIND_1,wind,30,713500,713500,713500,713500,713500,713500,713500
324_PV_3,solar,6,51000,51000,51000,51000,51000,51000,51000
312_PV_1,solar,48,94100,94100,94100,94100,94100,94100,94100
CSP14,solar new,72,0.104722697,0,0,0,0,0,0
102_PV_1,solar,4,25600,25600,25600,25600,25600,25600,25600
101_PV_1,solar,58,25900,25900,25900,25900,25900,25900,25900
324_PV_2,solar,6,51600,51600,51600,51600,51600,51600,51600
313_PV_2,solar,54,93300,93300,93300,93300,93300,93300,93300
RTPV20,solar new,68,0.044943917,0,0,0,0,0,0
104_PV_1,solar,35,26800,26800,26800,26800,26800,26800,26800
WIND16,wind new,33,1.898122382,0,0,0,0,0,0
101_PV_2,solar,58,26700,26700,26700,26700,26700,26700,26700
CSP15,solar new,21,0.098403217,0,0,0,0,0,0
WIND18,wind new,21,1.954848653,0,0,0,0,0,0
309_WIND_1,wind,60,148300,148300,148300,148300,148300,148300,148300
310_PV_2,solar,27,51600,51600,51600,51600,51600,51600,51600
PV12,solar new,23,0.095776632,0,0,0,0,0,0
113_PV_1,solar,71,93600,93600,93600,93600,93600,93600,93600
317_WIND_1,wind,16,799100,799100,799100,799100,799100,799100,799100
PV11,solar new,68,0.044943917,0,0,0,0,0,0
314_PV_1,solar,47,51600,51600,51600,51600,51600,51600,51600
324_PV_1,solar,6,49700,49700,49700,49700,49700,49700,49700
103_PV_1,solar,10,61500,61500,61500,61500,61500,61500,61500
RTPV21,solar new,25,0.148201759,0,0,0,0,600845.5497,653795.338
212_CSP_1,solar,70,200000,200000,200000,200000,200000,200000,200000
RTPV19,solar new,49,0.133388824,0,0,0,0,526410.0079,545270.8472
303_WIND_1,wind,20,847000,847000,847000,847000,847000,847000,847000
314_PV_2,solar,47,51600,51600,51600,51600,51600,51600,51600
WIND17,wind new,19,1.928941118,0,0,0,0,682749.762,751774.3537
102_PV_2,solar,4,25300,25300,25300,25300,25300,25300,25300
314_PV_3,solar,47,92700,92700,92700,92700,92700,92700,92700
320_PV_1,solar,61,51600,51600,51600,51600,51600,51600,51600
101_PV_3,solar,58,26200,26200,26200,26200,26200,26200,26200
319_PV_1,solar,38,188200,188200,188200,188200,188200,188200,188200
PV10,solar new,33,0.145735625,0,0,0,0,0,0
CSP13,solar new,33,0.098859422,0,0,0,0,0,0
314_PV_4,solar,47,51600,51600,51600,51600,51600,51600,51600
310_PV_1,solar,27,51700,51700,51700,51700,51700,51700,51700
215_PV_1,solar,17,125100,125100,125100,125100,125100,125100,125100
313_PV_1,solar,54,95100,95100,95100,95100,95100,95100,95100
101_PV_4,solar,58,25800,25800,25800,25800,25800,25800,25800
119_PV_1,solar,51,66600,66600,66600,66600,66600,66600,66600
322_CT_6,ngct,3,64000,64000,64000,64000,64000,64000,64000
STEAM30,ngst new,23,4.506626838,0,0,0,0,0,0
321_CC_1,ngcc,2,414000,414000,414000,414000,414000,414000,414000
